study	cancer_type	cancer_type_detailed	prefix	prefix_key_match
1661	blca_mskcc_solit_2014	Bladder Cancer	Bladder Urothelial Carcinoma	blca	Bladder Urothelial Carcinoma
1867	blca_plasmacytoid_mskcc_2016	Bladder Cancer	Plasmacytoid/Signet Ring Cell Bladder CarcinomaÂ 	blca	Bladder Urothelial Carcinoma
2594	blca_tcga_pan_can_atlas_2018	Bladder Urothelial Carcinoma	Bladder Urothelial Carcinoma	blca	Bladder Urothelial Carcinoma
3418	lgg_tcga_pan_can_atlas_2018	Diffuse Glioma	Oligoastrocytoma	lgg	NA
3419	lgg_tcga_pan_can_atlas_2018	Diffuse Glioma	Astrocytoma	lgg	NA
3422	lgg_tcga_pan_can_atlas_2018	Diffuse Glioma	Oligodendroglioma	lgg	NA
3769	lgg_tcga_pan_can_atlas_2018	Encapsulated Glioma	Low-Grade Glioma (NOS)	lgg	NA
3932	lgg_tcga	Glioma	Oligoastrocytoma	lgg	NA
3933	lgg_tcga	Glioma	Astrocytoma	lgg	NA
3934	lgg_tcga	Glioma	Anaplastic Astrocytoma	lgg	NA
3936	lgg_tcga	Glioma	Oligodendroglioma	lgg	NA
4291	lgg_tcga	Glioma	Diffuse Glioma	lgg	NA
4462	brca_metabric	Breast Cancer	Breast Invasive Ductal Carcinoma	brca	Invasive Breast Carcinoma
4463	brca_metabric	Breast Cancer	Breast Mixed Ductal and Lobular Carcinoma	brca	Invasive Breast Carcinoma
4476	brca_metabric	Breast Cancer	brca_metabric	brca	Invasive Breast Carcinoma
4480	brca_metabric	Breast Cancer	Breast Invasive Lobular Carcinoma	brca	Invasive Breast Carcinoma
4555	brca_metabric	Breast Cancer	Breast Invasive Mixed Mucinous Carcinoma	brca	Invasive Breast Carcinoma
4861	brca_metabric	Breast Cancer	Breast	brca	Invasive Breast Carcinoma
5232	brca_metabric	Breast Sarcoma	brca_metabric	brca	Invasive Breast Carcinoma
5918	brca_metabric	Breast Cancer	Metaplastic Breast Cancer	brca	Invasive Breast Carcinoma
6651	brca_metabric	Breast Sarcoma	Breast Invasive Ductal Carcinoma	brca	Invasive Breast Carcinoma
6980	breast_msk_2018	Breast Cancer, NOS	Breast	breast	Breast
7022	breast_msk_2018	Breast Cancer	Breast Invasive Cancer, NOS	breast	Breast
7147	breast_msk_2018	Breast Cancer	Invasive Breast Carcinoma	breast	Breast
7456	breast_msk_2018	Breast Cancer	Adenoid Cystic Breast Cancer	breast	Breast
8889	brca_bccrc_xenograft_2014	Breast Cancer	Invasive Breast Cancer	brca	Invasive Breast Carcinoma
9006	bfn_duke_nus_2015	Breast Sarcoma	Benign Phyllodes Tumor of the Breast	bfn	Breast Fibroepithelial Neoplasms
9007	bfn_duke_nus_2015	Breast Sarcoma	Borderline Phyllodes Tumor of the Breast	bfn	Breast Fibroepithelial Neoplasms
9011	bfn_duke_nus_2015	Breast Sarcoma	Malignant Phyllodes Tumor of the Breast	bfn	Breast Fibroepithelial Neoplasms
9093	brca_broad	Breast Cancer	Infiltrating Ductal Carcinoma	brca	Invasive Breast Carcinoma
9094	brca_broad	Breast Cancer	Infiltrating Lobular Carcinoma	brca	Invasive Breast Carcinoma
9112	brca_broad	Breast Cancer	Mucinous Carcinoma	brca	Invasive Breast Carcinoma
9125	brca_broad	Breast Cancer	Medullary Breast Carcinoma	brca	Invasive Breast Carcinoma
9130	brca_broad	Breast Cancer	Ductal Carcinoma In Situ (DCIS)	brca	Invasive Breast Carcinoma
9147	brca_broad	Breast Cancer	Mixed Carcinoma	brca	Invasive Breast Carcinoma
9185	brca_broad	Breast Cancer	Infiltrating Tubular Carcinoma	brca	Invasive Breast Carcinoma
9296	brca_tcga_pub2015	Invasive Breast Carcinoma	Invasive Breast Carcinoma	brca	Invasive Breast Carcinoma
9297	brca_tcga_pub2015	Invasive Breast Carcinoma	Breast Mixed Ductal and Lobular Carcinoma	brca	Invasive Breast Carcinoma
9298	brca_tcga_pub2015	Invasive Breast Carcinoma	Breast Invasive Ductal Carcinoma	brca	Invasive Breast Carcinoma
9300	brca_tcga_pub2015	Invasive Breast Carcinoma	Breast Invasive Lobular Carcinoma	brca	Invasive Breast Carcinoma
9477	brca_tcga_pub2015	Invasive Breast Carcinoma	brca_tcga_pub2015	brca	Invasive Breast Carcinoma
10938	brca_tcga_pan_can_atlas_2018	Invasive Breast Carcinoma	Breast Invasive Mixed Mucinous Carcinoma	brca	Invasive Breast Carcinoma
10954	brca_tcga_pan_can_atlas_2018	Invasive Breast Carcinoma	Breast Invasive Carcinoma (NOS)	brca	Invasive Breast Carcinoma
11052	brca_tcga_pan_can_atlas_2018	Invasive Breast Carcinoma	Metaplastic Breast Cancer	brca	Invasive Breast Carcinoma
12079	brca_tcga	brca_tcga	brca_tcga	brca	Invasive Breast Carcinoma
12104	brca_tcga	Breast Cancer	Paget Disease of the Nipple	brca	Invasive Breast Carcinoma
12433	brca_tcga	Breast Cancer	Solid Papillary Carcinoma of the Breast	brca	Invasive Breast Carcinoma
12504	brca_tcga	Skin Cancer, Non-Melanoma	Basal Cell Carcinoma	brca	Invasive Breast Carcinoma
12734	brca_tcga	Breast Cancer	Breast Invasive Carcinoma, NOS	brca	Invasive Breast Carcinoma
13130	cellline_ccle_broad	Cancer of Unknown Primary	Mixed Cancer Types	cellline	NA
14150	cesc_tcga_pan_can_atlas_2018	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma	cesc	Cervical Squamous Cell Carcinoma
14153	cesc_tcga_pan_can_atlas_2018	Cervical Adenocarcinoma	Endocervical Adenocarcinoma	cesc	Cervical Squamous Cell Carcinoma
14163	cesc_tcga_pan_can_atlas_2018	Cervical Adenocarcinoma	Mucinous Carcinoma	cesc	Cervical Squamous Cell Carcinoma
14193	cesc_tcga_pan_can_atlas_2018	Cervical Adenocarcinoma	Endometrioid Carcinoma	cesc	Cervical Squamous Cell Carcinoma
14447	cesc_tcga	Cervical Cancer	Cervical Squamous Cell Carcinoma	cesc	Cervical Squamous Cell Carcinoma
14450	cesc_tcga	Cervical Cancer	Endocervical Adenocarcinoma	cesc	Cervical Squamous Cell Carcinoma
14460	cesc_tcga	Cervical Cancer	Mucinous Carcinoma	cesc	Cervical Squamous Cell Carcinoma
14491	cesc_tcga	Cervical Cancer	Cervical Endometrioid Carcinoma	cesc	Cervical Squamous Cell Carcinoma
14544	cesc_tcga	Cervical Cancer, NOS	Cervix	cesc	Cervical Squamous Cell Carcinoma
14550	cesc_tcga	Cervical Cancer	Cervical Adenosquamous Carcinoma	cesc	Cervical Squamous Cell Carcinoma
14757	chol_msk_2018	Hepatobiliary Cancer	Extrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
14758	chol_msk_2018	Hepatobiliary Cancer	Intrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
14952	chol_nccs_2013	Hepatobiliary Cancer	Cholangiocarcinoma	chol	Cholangiocarcinoma
14975	chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma	Perihilar Cholangiocarcinoma	chol	Cholangiocarcinoma
14976	chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma	Intrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
14978	chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma	Cholangiocarcinoma	chol	Cholangiocarcinoma
15011	chol_tcga	Hepatobiliary Cancer	Perihilar Cholangiocarcinoma	chol	Cholangiocarcinoma
15062	lcll_broad_2013	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic LymphomaÂ 	lcll	NA
15222	cll_iuopa_2015	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	cll	NA
15235	cll_iuopa_2015	Mature B-Cell Neoplasms	Monoclonal B-Cell Lymphocytosis	cll	NA
15833	coadread_dfci_2016	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
16452	coadread_genentech	Colorectal Cancer	Colorectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
16526	coadread_tcga_pub	Colorectal Adenocarcinoma	Colon Adenocarcinoma	coadread	Colorectal Adenocarcinoma
16530	coadread_tcga_pub	Colorectal Adenocarcinoma	Rectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
16805	coadread_tcga_pan_can_atlas_2018	Colorectal Adenocarcinoma	Mucinous Adenocarcinoma of the Colon and Rectum	coadread	Colorectal Adenocarcinoma
17396	coadread_tcga	Colorectal Cancer	Colon Adenocarcinoma	coadread	Colorectal Adenocarcinoma
17398	coadread_tcga	Colorectal Cancer	Rectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
17400	coadread_tcga	Colorectal Cancer	Mucinous Adenocarcinoma of the Colon and Rectum	coadread	Colorectal Adenocarcinoma
18174	cscc_dfarber_2015	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	cscc	Cutaneous Squamous Cell Carcinoma
18242	ctcl_columbia_2015	Mature T and NK Neoplasms	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	ctcl	NA
18245	ctcl_columbia_2015	Mature T and NK Neoplasms	Mycosis Fungoides	ctcl	NA
18246	ctcl_columbia_2015	Mature T and NK Neoplasms	Sezary Syndrome	ctcl	NA
18261	ctcl_columbia_2015	Mature T and NK Neoplasms	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	ctcl	NA
18285	pact_jhu_2011	Pancreatic Cancer	Serous Cystadenoma of the Pancreas	pact	Cystic Tumor of the Pancreas
18289	pact_jhu_2011	Pancreatic Cancer	Mucinous Cystic Neoplasm	pact	Cystic Tumor of the Pancreas
18291	pact_jhu_2011	Pancreatic Cancer	Intraductal Papillary Mucinous Neoplasm	pact	Cystic Tumor of the Pancreas
18297	pact_jhu_2011	Pancreatic Cancer	Solid Pseudopapillary Neoplasm of the Pancreas	pact	Cystic Tumor of the Pancreas
18317	desm_broad_2015	Melanoma	Desmoplastic Melanoma	desm	Desmoplastic Melanoma
18337	dlbcl_dfci_2018	Mature B-Cell Neoplasms	Germinal Center B-Cell Type	dlbcl	NA
18338	dlbcl_dfci_2018	Mature B-Cell Neoplasms	Activated B-cell Type	dlbcl	NA
18345	dlbcl_dfci_2018	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	dlbcl	NA
19632	ucec_msk_2018	Endometrial Cancer	Uterine Endometrioid Carcinoma	ucec	Endometrial Carcinoma
19634	ucec_msk_2018	Endometrial Cancer	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	ucec	Endometrial Carcinoma
19635	ucec_msk_2018	Endometrial Cancer	Uterine Mixed Endometrial Carcinoma	ucec	Endometrial Carcinoma
19636	ucec_msk_2018	Endometrial Cancer	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	ucec	Endometrial Carcinoma
19644	ucec_msk_2018	Endometrial Cancer	Uterine Clear Cell Carcinoma	ucec	Endometrial Carcinoma
19648	ucec_msk_2018	Endometrial Cancer	Uterine Undifferentiated Carcinoma	ucec	Endometrial Carcinoma
19700	ucec_msk_2018	Endometrial Cancer	Uterine Dedifferentiated Carcinoma	ucec	Endometrial Carcinoma
19740	ucec_msk_2018	Endometrial Cancer	Uterine Neuroendocrine Carcinoma	ucec	Endometrial Carcinoma
19829	esca_broad	Esophagogastric Cancer	Esophageal Adenocarcinoma	esca	Esophageal Adenocarcinoma
19980	esca_tcga_pan_can_atlas_2018	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	esca	Esophageal Adenocarcinoma
19982	esca_tcga_pan_can_atlas_2018	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma	esca	Esophageal Adenocarcinoma
20164	esca_tcga	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	esca	Esophageal Adenocarcinoma
20241	esca_tcga	Esophageal/Stomach Cancer, NOS	Esophagus/Stomach	esca	Esophageal Adenocarcinoma
20575	es_iocurie_2014	Bone Cancer	Ewing Sarcoma	es	Ewing Sarcoma
20687	gbc_msk_2018	Hepatobiliary Cancer	Gallbladder Cancer	gbc	Gallbladder Cancer
20822	egc_tmucih_2015	Esophagogastric Adenocarcinoma	Esophagogastric Adenocarcinoma	egc	Esophagogastric Adenocarcinoma
20900	gct_msk_2016	Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor	gct	Granular Cell Tumor
20902	gct_msk_2016	Germ Cell Tumor	Seminoma	gct	Granular Cell Tumor
21080	gbm_tcga_pub2013	Glioma	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
21665	gbm_tcga_pub	Glioblastoma Multiforme	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
21871	gbm_tcga_pan_can_atlas_2018	Glioblastoma	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
23067	glioma_msk_2018	Glioma	Gliosarcoma	glioma	NA
23081	glioma_msk_2018	Glioma	High-Grade Glioma, NOS	glioma	NA
23122	glioma_msk_2018	Glioma	Glioblastoma	glioma	NA
23158	hnsc_broad	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	hnsc	Head and Neck Squamous Cell Carcinoma
23622	hnsc_tcga_pan_can_atlas_2018	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	hnsc	Head and Neck Squamous Cell Carcinoma
24675	liad_inserm_fr_2014	Hepatobiliary Cancer	Hepatocellular Adenoma	liad	Hepatocellular Adenoma
24721	hcc_mskimpact_2018	Hepatobiliary Cancer	Hepatocellular Carcinoma	hcc	Hepatocellular Carcinoma
25091	histiocytosis_cobi_msk_2019	Histiocytosis	Histiocytic and Dendritic Cell Neoplasms	histiocytosis	NA
25143	all_stjude_2013	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	all	NA
25187	panet_shanghai_2013	Pancreatic Cancer	Pancreatic Neuroendocrine Tumor	panet	Pancreatic Neuroendocrine Tumor
25237	kich_tcga_pub	Renal Cell Carcinoma	Chromophobe Renal Cell Carcinoma	kich	NA
25303	kich_tcga_pan_can_atlas_2018	Renal Non-Clear Cell Carcinoma	Chromophobe Renal Cell Carcinoma	kich	NA
25434	kirc_bgi	Renal Cell Carcinoma	Chromophobe Renal Cell CarcinomaÂ 	kirc	NA
25532	ccrcc_irc_2014	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ccrcc	Renal Clear Cell Carcinoma
26109	kirc_tcga_pan_can_atlas_2018	Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma	kirc	NA
27159	kirp_tcga_pan_can_atlas_2018	Renal Non-Clear Cell Carcinoma	Papillary Renal Cell Carcinoma	kirp	NA
27442	kirp_tcga	Renal Cell Carcinoma	Papillary Renal Cell Carcinoma	kirp	NA
27985	lihc_riken	Heptocellular Carcinoma	Heptocellular Carcinoma	lihc	NA
28012	lihc_tcga_pan_can_atlas_2018	Hepatocellular Carcinoma	Hepatocellular Carcinoma	lihc	NA
28056	lihc_tcga_pan_can_atlas_2018	Fibrolamellar Carcinoma	Fibrolamellar Carcinoma	lihc	NA
28407	lihc_tcga	Hepatobiliary Cancer	Fibrolamellar Carcinoma	lihc	NA
28476	lihc_tcga	Hepatobiliary Cancer	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	lihc	NA
28500	lihc_tcga	Hepatobiliary Cancer	Liver Cancer, NOS	lihc	NA
28887	luad_broad	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	luad	Lung Adenocarcinoma
30650	lusc_tcga_pub	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	lusc	Lung Squamous Cell Carcinoma
31826	dlbc_tcga	Non-Hodgkin Lymphoma	Diffuse Large B-Cell Lymphoma	dlbc	NA
31872	dlbc_tcga	Lymphoid Cancer	Mature B-Cell Neoplasms	dlbc	NA
31874	msk_impact_2017	Bladder Cancer	Upper Tract Urothelial Carcinoma	msk	NA
31875	msk_impact_2017	Melanoma	Cutaneous Melanoma	msk	NA
31878	msk_impact_2017	Ovarian Cancer	Clear Cell Ovarian Cancer	msk	NA
31882	msk_impact_2017	Melanoma	Anorectal Mucosal Melanoma	msk	NA
31884	msk_impact_2017	Thyroid Cancer	Papillary Thyroid Cancer	msk	NA
31885	msk_impact_2017	Skin Cancer, Non-Melanoma	Merkel Cell Carcinoma	msk	NA
31886	msk_impact_2017	CNS Cancer	Meningioma	msk	NA
31888	msk_impact_2017	Head and Neck Cancer	Sinonasal Adenocarcinoma	msk	NA
31890	msk_impact_2017	Anal Cancer	Anal Squamous Cell Carcinoma	msk	NA
31892	msk_impact_2017	Cervical Cancer	Gastric Type Mucinous Carcinoma	msk	NA
31894	msk_impact_2017	Pancreatic Cancer	Pancreatic Adenocarcinoma	msk	NA
31901	msk_impact_2017	Small Bowel Cancer	Small Bowel Cancer	msk	NA
31902	msk_impact_2017	Germ Cell Tumor	Mixed Germ Cell Tumor	msk	NA
31910	msk_impact_2017	Soft Tissue Sarcoma	Angiosarcoma	msk	NA
31911	msk_impact_2017	Prostate Cancer	Prostate Adenocarcinoma	msk	NA
31913	msk_impact_2017	Cancer of Unknown Primary	Neuroendocrine Carcinoma, NOS	msk	NA
31918	msk_impact_2017	Soft Tissue Sarcoma	Histiocytic Dendritic Cell Sarcoma	msk	NA
31925	msk_impact_2017	Renal Cell Carcinoma	Unclassified Renal Cell Carcinoma	msk	NA
31930	msk_impact_2017	Ovarian Cancer	High-Grade Serous Ovarian Cancer	msk	NA
31932	msk_impact_2017	Uterine Sarcoma	Uterine Sarcoma, Other	msk	NA
31938	msk_impact_2017	Thyroid Cancer	Poorly Differentiated Thyroid Cancer	msk	NA
31941	msk_impact_2017	Prostate Cancer	Prostate Neuroendocrine Carcinoma	msk	NA
31942	msk_impact_2017	Esophagogastric Cancer	Esophagogastric Adenocarcinoma	msk	NA
31944	msk_impact_2017	Appendiceal Cancer	Appendiceal Adenocarcinoma	msk	NA
31948	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Small Bowel Well-Differentiated Neuroendocrine Tumor	msk	NA
31952	msk_impact_2017	Thyroid Cancer	Hurthle Cell Thyroid Cancer	msk	NA
31956	msk_impact_2017	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	msk	NA
31957	msk_impact_2017	Thyroid Cancer	Anaplastic Thyroid Cancer	msk	NA
31977	msk_impact_2017	Melanoma	Mucosal Melanoma of the Vulva/Vagina	msk	NA
31982	msk_impact_2017	Soft Tissue Sarcoma	Perivascular Epithelioid Cell Tumor	msk	NA
31988	msk_impact_2017	Gastrointestinal Stromal Tumor	Gastrointestinal Stromal Tumor	msk	NA
31990	msk_impact_2017	Glioma	Diffuse Intrinsic Pontine Glioma	msk	NA
32002	msk_impact_2017	Non-Small Cell Lung Cancer	Poorly Differentiated Non-Small Cell Lung Cancer	msk	NA
32008	msk_impact_2017	Esophagogastric Cancer	Stomach Adenocarcinoma	msk	NA
32011	msk_impact_2017	Non-Small Cell Lung Cancer	Atypical Lung Carcinoid	msk	NA
32035	msk_impact_2017	Salivary Gland Cancer	Salivary Duct Carcinoma	msk	NA
32042	msk_impact_2017	Ovarian Cancer	Mixed Ovarian Carcinoma	msk	NA
32043	msk_impact_2017	Thyroid Cancer	Medullary Thyroid Cancer	msk	NA
32055	msk_impact_2017	Non-Small Cell Lung Cancer	Large Cell Neuroendocrine Carcinoma	msk	NA
32059	msk_impact_2017	Mesothelioma	Pleural Mesothelioma	msk	NA
32062	msk_impact_2017	Esophagogastric Cancer	Poorly Differentiated Carcinoma of the Stomach	msk	NA
32079	msk_impact_2017	Esophagogastric Cancer	Adenocarcinoma of the Gastroesophageal Junction	msk	NA
32095	msk_impact_2017	Ovarian Cancer	Endometrioid Ovarian Cancer	msk	NA
32102	msk_impact_2017	Salivary Gland Cancer	Adenoid Cystic Carcinoma	msk	NA
32114	msk_impact_2017	Mature T and NK Neoplasms	Angioimmunoblastic T-Cell Lymphoma	msk	NA
32117	msk_impact_2017	Cancer of Unknown Primary	Cancer of Unknown Primary	msk	NA
32121	msk_impact_2017	Soft Tissue Sarcoma	Pleomorphic Rhabdomyosarcoma	msk	NA
32144	msk_impact_2017	Hodgkin Lymphoma	Hodgkin Lymphoma	msk	NA
32153	msk_impact_2017	Salivary Gland Cancer	Salivary Carcinoma, Other	msk	NA
32162	msk_impact_2017	Mesothelioma	Peritoneal Mesothelioma	msk	NA
32166	msk_impact_2017	Salivary Gland Cancer	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	msk	NA
32170	msk_impact_2017	Cervical Cancer	Small Cell Carcinoma of the Cervix	msk	NA
32180	msk_impact_2017	Peripheral Nervous System	Neuroblastoma	msk	NA
32197	msk_impact_2017	Germ Cell Tumor	Teratoma	msk	NA
32203	msk_impact_2017	Head and Neck Cancer	Oropharynx Squamous Cell Carcinoma	msk	NA
32206	msk_impact_2017	Gestational Trophoblastic Disease	Choriocarcinoma	msk	NA
32218	msk_impact_2017	Bone Cancer	Osteosarcoma	msk	NA
32219	msk_impact_2017	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma of Unknown Primary	msk	NA
32228	msk_impact_2017	Small Cell Lung Cancer	Small Cell Lung Cancer	msk	NA
32238	msk_impact_2017	Germ Cell Tumor	Yolk Sac Tumor	msk	NA
32246	msk_impact_2017	Nerve Sheath Tumor	Schwannoma	msk	NA
32251	msk_impact_2017	Uterine Sarcoma	Low-Grade Endometrial Stromal Sarcoma	msk	NA
32253	msk_impact_2017	Pineal Tumor	Pineal Parenchymal Tumor of Intermediate Differentiation	msk	NA
32274	msk_impact_2017	Bone Cancer	Chondroblastoma	msk	NA
32298	msk_impact_2017	Renal Cell Carcinoma	Renal Medullary Carcinoma	msk	NA
32309	msk_impact_2017	Bone Cancer	Chondrosarcoma	msk	NA
32314	msk_impact_2017	Appendiceal Cancer	Mucinous Adenocarcinoma of the Appendix	msk	NA
32329	msk_impact_2017	Glioma	Low-Grade Glioma, NOS	msk	NA
32330	msk_impact_2017	Melanoma	Melanoma of Unknown Primary	msk	NA
32333	msk_impact_2017	Soft Tissue Sarcoma	Rhabdomyosarcoma	msk	NA
32336	msk_impact_2017	Soft Tissue Sarcoma	Myxoid/Round-Cell Liposarcoma	msk	NA
32338	msk_impact_2017	Sellar Tumor	Granular Cell Tumor	msk	NA
32339	msk_impact_2017	Sex Cord Stromal Tumor	Granulosa Cell Tumor	msk	NA
32363	msk_impact_2017	Ovarian Cancer	Serous Borderline Ovarian Tumor, Micropapillary	msk	NA
32364	msk_impact_2017	Thymic Tumor	Thymoma	msk	NA
32370	msk_impact_2017	Esophagogastric Cancer	Intestinal Type Stomach Adenocarcinoma	msk	NA
32379	msk_impact_2017	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	msk	NA
32380	msk_impact_2017	CNS Cancer	Ependymoma	msk	NA
32396	msk_impact_2017	Head and Neck Cancer	Larynx Squamous Cell Carcinoma	msk	NA
32411	msk_impact_2017	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Appendix	msk	NA
32417	msk_impact_2017	Ampullary Carcinoma	Pancreatobiliary Ampullary Carcinoma	msk	NA
32427	msk_impact_2017	Thyroid Cancer	Follicular Thyroid Cancer	msk	NA
32457	msk_impact_2017	Head and Neck Cancer	Sinonasal Undifferentiated Carcinoma	msk	NA
32464	msk_impact_2017	Soft Tissue Sarcoma	Fibrosarcoma	msk	NA
32465	msk_impact_2017	Germ Cell Tumor	Embryonal Carcinoma	msk	NA
32474	msk_impact_2017	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	msk	NA
32529	msk_impact_2017	Soft Tissue Sarcoma	Sclerosing Epithelioid Fibrosarcoma	msk	NA
32531	msk_impact_2017	Uterine Sarcoma	High-Grade Endometrial Stromal Sarcoma	msk	NA
32550	msk_impact_2017	Mature B-Cell Neoplasms	Mantle Cell Lymphoma	msk	NA
32564	msk_impact_2017	Penile Cancer	Penile Squamous Cell Carcinoma	msk	NA
32581	msk_impact_2017	Mesothelioma	Pleural Mesothelioma, Epithelioid Type	msk	NA
32589	msk_impact_2017	Melanoma	Uveal Melanoma	msk	NA
32626	msk_impact_2017	Germ Cell Tumor	Immature Teratoma	msk	NA
32628	msk_impact_2017	Thymic Tumor	Thymic Carcinoma	msk	NA
32629	msk_impact_2017	Nerve Sheath Tumor	Melanotic Schwannoma	msk	NA
32631	msk_impact_2017	Vaginal Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	msk	NA
32646	msk_impact_2017	Sex Cord Stromal Tumor	Sex Cord Stromal Tumor	msk	NA
32653	msk_impact_2017	Small Bowel Cancer	Duodenal Adenocarcinoma	msk	NA
32671	msk_impact_2017	Soft Tissue Sarcoma	Solitary Fibrous Tumor/Hemangiopericytoma	msk	NA
32675	msk_impact_2017	Histiocytosis	Erdheim-Chester Disease	msk	NA
32691	msk_impact_2017	Soft Tissue Sarcoma	Desmoplastic Small-Round-Cell Tumor	msk	NA
32696	msk_impact_2017	Soft Tissue Sarcoma	Alveolar Soft Part Sarcoma	msk	NA
32703	msk_impact_2017	Uterine Sarcoma	Uterine Epithelioid Leiomyosarcoma	msk	NA
32709	msk_impact_2017	Uterine Sarcoma	Undifferentiated Uterine Sarcoma	msk	NA
32722	msk_impact_2017	Uterine Sarcoma	Uterine Perivascular Epithelioid Cell Tumor	msk	NA
32727	msk_impact_2017	Soft Tissue Sarcoma	Embryonal Rhabdomyosarcoma	msk	NA
