study	final_tissue	cancer_type	cancer_type_detailed	prefix	prefix_key_match
brca_tcga	Breast	Breast Cancer	Solid Papillary Carcinoma of the Breast	brca	Invasive Breast Carcinoma
brca_tcga	Breast	Invasive Breast Carcinoma		brca	Invasive Breast Carcinoma
brca_tcga	Skin	Skin Cancer, Non-Melanoma	Basal Cell Carcinoma	brca	Invasive Breast Carcinoma
brca_tcga	Breast	Breast Cancer	Breast Invasive Carcinoma, NOS	brca	Invasive Breast Carcinoma
cellline_ccle_broad	Other	Cancer of Unknown Primary	Mixed Cancer Types	cellline	NA
cesc_tcga_pan_can_atlas_2018	Cervix	Cervical Squamous Cell Carcinoma	Cervical Squamous Cell Carcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga_pan_can_atlas_2018	Cervix	Cervical Adenocarcinoma	Endocervical Adenocarcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga_pan_can_atlas_2018	Cervix	Cervical Adenocarcinoma	Mucinous Carcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga_pan_can_atlas_2018	Cervix	Cervical Adenocarcinoma	Endometrioid Carcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga	Cervix	Cervical Cancer	Cervical Squamous Cell Carcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga	Cervix	Cervical Cancer	Endocervical Adenocarcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga	Cervix	Cervical Cancer	Mucinous Carcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga	Cervix	Cervical Cancer	Cervical Endometrioid Carcinoma	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga	Cervix	Cervical Cancer, NOS	Cervix	cesc	Cervical Squamous Cell Carcinoma
cesc_tcga	Cervix	Cervical Cancer	Cervical Adenosquamous Carcinoma	cesc	Cervical Squamous Cell Carcinoma
chol_msk_2018	Biliary Tract	Hepatobiliary Cancer	Extrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
chol_msk_2018	Biliary Tract	Hepatobiliary Cancer	Intrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
chol_nccs_2013	Biliary Tract	Hepatobiliary Cancer	Cholangiocarcinoma	chol	Cholangiocarcinoma
chol_tcga_pan_can_atlas_2018	Biliary Tract	Cholangiocarcinoma	Perihilar Cholangiocarcinoma	chol	Cholangiocarcinoma
chol_tcga_pan_can_atlas_2018	Biliary Tract	Cholangiocarcinoma	Intrahepatic Cholangiocarcinoma	chol	Cholangiocarcinoma
chol_tcga_pan_can_atlas_2018	Biliary Tract	Cholangiocarcinoma	Cholangiocarcinoma	chol	Cholangiocarcinoma
chol_tcga	Biliary Tract	Hepatobiliary Cancer	Perihilar Cholangiocarcinoma	chol	Cholangiocarcinoma
lcll_broad_2013	Lymphoid	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma 	lcll	NA
cll_iuopa_2015	Lymphoid	Leukemia	Chronic Lymphocytic Leukemia	cll	NA
cll_iuopa_2015	Lymphoid	Monoclonal B-cell lymphocytosis	Monoclonal B-cell lymphocytosis	cll	NA
cll_iuopa_2015	Lymphoid	Non-Hodgkin Lymphoma	Small Lymphocytic Lymphoma	cll	NA
cllsll_icgc_2011	Lymphoid	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	cllsll	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
coadread_dfci_2016	Bowel	Colorectal Adenocarcinoma	Colorectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
coadread_genentech	Bowel	Colorectal Cancer	Colorectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
coadread_tcga_pub	Bowel	Colorectal Adenocarcinoma	Colon Adenocarcinoma	coadread	Colorectal Adenocarcinoma
coadread_tcga_pub	Bowel	Colorectal Adenocarcinoma	Rectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
coadread_tcga_pan_can_atlas_2018	Bowel	Colorectal Adenocarcinoma	Mucinous Adenocarcinoma of the Colon and Rectum	coadread	Colorectal Adenocarcinoma
coadread_tcga	Bowel	Colorectal Cancer	Colon Adenocarcinoma	coadread	Colorectal Adenocarcinoma
coadread_tcga	Bowel	Colorectal Cancer	Rectal Adenocarcinoma	coadread	Colorectal Adenocarcinoma
coadread_tcga	Bowel	Colorectal Cancer	Mucinous Adenocarcinoma of the Colon and Rectum	coadread	Colorectal Adenocarcinoma
cscc_dfarber_2015	Skin	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	cscc	Cutaneous Squamous Cell Carcinoma
ctcl_columbia_2015	Lymphoid	Mature T and NK Neoplasms	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	ctcl	NA
ctcl_columbia_2015	Lymphoid	Mature T and NK Neoplasms	Mycosis Fungoides	ctcl	NA
ctcl_columbia_2015	Lymphoid	Mature T and NK Neoplasms	Sezary Syndrome	ctcl	NA
ctcl_columbia_2015	Lymphoid	Mature T and NK Neoplasms	Primary Cutaneous CD30 Positive T-Cell Lymphoproliferative Disorders	ctcl	NA
pact_jhu_2011	Pancreas	Pancreatic Cancer	Serous Cystadenoma of the Pancreas	pact	Cystic Tumor of the Pancreas
pact_jhu_2011	Pancreas	Pancreatic Cancer	Mucinous Cystic Neoplasm	pact	Cystic Tumor of the Pancreas
pact_jhu_2011	Pancreas	Pancreatic Cancer	Intraductal Papillary Mucinous Neoplasm	pact	Cystic Tumor of the Pancreas
pact_jhu_2011	Pancreas	Pancreatic Cancer	Solid Pseudopapillary Neoplasm of the Pancreas	pact	Cystic Tumor of the Pancreas
desm_broad_2015	Skin	Melanoma	Desmoplastic Melanoma	desm	Desmoplastic Melanoma
dlbcl_dfci_2018	Lymphoid	Mature B-Cell Neoplasms	Germinal Center B-Cell Type	dlbcl	NA
dlbcl_dfci_2018	Lymphoid	Mature B-Cell Neoplasms	Activated B-cell Type	dlbcl	NA
dlbcl_dfci_2018	Lymphoid	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	dlbcl	NA
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Endometrioid Carcinoma	ucec	Endometrial Carcinoma
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Serous Carcinoma/Uterine Papillary Serous Carcinoma	ucec	Endometrial Carcinoma
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Mixed Endometrial Carcinoma	ucec	Endometrial Carcinoma
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Carcinosarcoma/Uterine Malignant Mixed Mullerian Tumor	ucec	Endometrial Carcinoma
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Clear Cell Carcinoma	ucec	Endometrial Carcinoma
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Undifferentiated Carcinoma	ucec	Endometrial Carcinoma
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Dedifferentiated Carcinoma	ucec	Endometrial Carcinoma
ucec_msk_2018	Uterus	Endometrial Cancer	Uterine Neuroendocrine Carcinoma	ucec	Endometrial Carcinoma
esca_broad	Esophagus/Stomach	Esophagogastric Cancer	Esophageal Adenocarcinoma	esca	Esophageal Adenocarcinoma
esca_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophageal Adenocarcinoma	esca	Esophageal Adenocarcinoma
esca_tcga_pan_can_atlas_2018	Esophagus/Stomach	Esophageal Squamous Cell Carcinoma	Esophageal Squamous Cell Carcinoma	esca	Esophageal Adenocarcinoma
esca_tcga	Esophagus/Stomach	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	esca	Esophageal Adenocarcinoma
esca_tcga	Esophagus/Stomach	Esophageal/Stomach Cancer, NOS	Esophagus/Stomach	esca	Esophageal Adenocarcinoma
es_iocurie_2014	Bone	Bone Cancer	Ewing Sarcoma	es	Ewing Sarcoma
gbc_msk_2018	Biliary Tract	Hepatobiliary Cancer	Gallbladder Cancer	gbc	Gallbladder Cancer
egc_tmucih_2015	Esophagus/Stomach	Esophagogastric Adenocarcinoma	Esophagogastric Adenocarcinoma	egc	Esophagogastric Adenocarcinoma
gct_msk_2016	Testis	Germ Cell Tumor	Non-Seminomatous Germ Cell Tumor	gct	Granular Cell Tumor
gct_msk_2016	Testis	Germ Cell Tumor	Seminoma	gct	Granular Cell Tumor
gbm_tcga_pub2013	CNS/Brain	Glioma	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
gbm_tcga_pan_can_atlas_2018	CNS/Brain	Glioblastoma	Glioblastoma Multiforme	gbm	Glioblastoma Multiforme
glioma_msk_2018	CNS/Brain	Glioma	Gliosarcoma	glioma	NA
glioma_msk_2018	CNS/Brain	Glioma	High-Grade Glioma, NOS	glioma	NA
glioma_msk_2018	CNS/Brain	Glioma	Glioblastoma	glioma	NA
hnsc_broad	Head and Neck	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma	hnsc	Head and Neck Squamous Cell Carcinoma
hnsc_tcga_pan_can_atlas_2018	Head and Neck	Head and Neck Squamous Cell Carcinoma	Head and Neck Squamous Cell Carcinoma	hnsc	Head and Neck Squamous Cell Carcinoma
liad_inserm_fr_2014	Biliary Tract	Hepatobiliary Cancer	Hepatocellular Adenoma	liad	Hepatocellular Adenoma
hcc_mskimpact_2018	Biliary Tract	Hepatobiliary Cancer	Hepatocellular Carcinoma	hcc	Hepatocellular Carcinoma
all_stjude_2013	Lymphoid	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	all	NA
panet_shanghai_2013	Pancreas	Pancreatic Cancer	Pancreatic Neuroendocrine Tumor	panet	Pancreatic Neuroendocrine Tumor
kich_tcga_pub	Kidney	Renal Cell Carcinoma	Chromophobe Renal Cell Carcinoma	kich	NA
kich_tcga_pan_can_atlas_2018	Kidney	Renal Non-Clear Cell Carcinoma	Chromophobe Renal Cell Carcinoma	kich	NA
kirc_bgi	Kidney	Renal Cell Carcinoma	Chromophobe Renal Cell Carcinoma 	kirc	NA
ccrcc_irc_2014	Kidney	Renal Cell Carcinoma	Renal Clear Cell Carcinoma	ccrcc	Renal Clear Cell Carcinoma
kirc_tcga_pan_can_atlas_2018	Kidney	Renal Clear Cell Carcinoma	Renal Clear Cell Carcinoma	kirc	NA
kirp_tcga_pan_can_atlas_2018	Kidney	Renal Non-Clear Cell Carcinoma	Papillary Renal Cell Carcinoma	kirp	NA
kirp_tcga	Kidney	Renal Cell Carcinoma	Papillary Renal Cell Carcinoma	kirp	NA
lihc_riken	Liver	Heptocellular Carcinoma	Heptocellular Carcinoma	lihc	NA
lihc_tcga_pan_can_atlas_2018	Liver	Hepatocellular Carcinoma	Hepatocellular Carcinoma	lihc	NA
lihc_tcga_pan_can_atlas_2018	Liver	Fibrolamellar Carcinoma	Fibrolamellar Carcinoma	lihc	NA
lihc_tcga	Liver	Hepatobiliary Cancer	Fibrolamellar Carcinoma	lihc	NA
lihc_tcga	Liver	Hepatobiliary Cancer	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	lihc	NA
lihc_tcga	Liver	Hepatobiliary Cancer		lihc	NA
luad_broad	Lung	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	luad	Lung Adenocarcinoma
lusc_tcga_pub	Lung	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	lusc	Lung Squamous Cell Carcinoma
dlbc_tcga	Lymphoid	Non-Hodgkin Lymphoma	Diffuse Large B-Cell Lymphoma	dlbc	NA
dlbc_tcga	Lymphoid	Lymphoid Cancer	Mature B-Cell Neoplasms	dlbc	NA
msk_impact_2017	Bladder/Urinary Tract	Bladder Cancer	Upper Tract Urothelial Carcinoma	msk	NA
msk_impact_2017	Skin	Melanoma	Cutaneous Melanoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Clear Cell Ovarian Cancer	msk	NA
msk_impact_2017	Skin	Melanoma	Anorectal Mucosal Melanoma	msk	NA
msk_impact_2017	Thyroid	Thyroid Cancer	Papillary Thyroid Cancer	msk	NA
msk_impact_2017	Skin	Skin Cancer, Non-Melanoma	Merkel Cell Carcinoma	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Meningioma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Sinonasal Adenocarcinoma	msk	NA
msk_impact_2017	Bowel	Anal Cancer	Anal Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Cervix	Cervical Cancer	Gastric Type Mucinous Carcinoma	msk	NA
msk_impact_2017	Pancreas	Pancreatic Cancer	Pancreatic Adenocarcinoma	msk	NA
msk_impact_2017	Bowel	Small Bowel Cancer	Small Bowel Cancer	msk	NA
msk_impact_2017	Testis	Germ Cell Tumor	Mixed Germ Cell Tumor	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Angiosarcoma	msk	NA
msk_impact_2017	Prostate	Prostate Cancer	Prostate Adenocarcinoma	msk	NA
msk_impact_2017	Other	Cancer of Unknown Primary	Neuroendocrine Carcinoma, NOS	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Histiocytic Dendritic Cell Sarcoma	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Unclassified Renal Cell Carcinoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	High-Grade Serous Ovarian Cancer	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Uterine Sarcoma, Other	msk	NA
msk_impact_2017	Thyroid	Thyroid Cancer	Poorly Differentiated Thyroid Cancer	msk	NA
msk_impact_2017	Prostate	Prostate Cancer	Prostate Neuroendocrine Carcinoma	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Esophagogastric Adenocarcinoma	msk	NA
msk_impact_2017	Appendix	Appendiceal Cancer	Appendiceal Adenocarcinoma	msk	NA
msk_impact_2017	Bowel	Gastrointestinal Neuroendocrine Tumor	Small Bowel Well-Differentiated Neuroendocrine Tumor	msk	NA
msk_impact_2017	Thyroid	Thyroid Cancer	Hurthle Cell Thyroid Cancer	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Thyroid	Thyroid Cancer	Anaplastic Thyroid Cancer	msk	NA
msk_impact_2017	Skin	Melanoma	Mucosal Melanoma of the Vulva/Vagina	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Perivascular Epithelioid Cell Tumor	msk	NA
msk_impact_2017	Esophagus/Stomach	Gastrointestinal Stromal Tumor	Gastrointestinal Stromal Tumor	msk	NA
msk_impact_2017	CNS/Brain	Glioma	Diffuse Intrinsic Pontine Glioma	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Poorly Differentiated Non-Small Cell Lung Cancer	msk	NA
msk_impact_2017	Skin	Melanoma	Acral Melanoma	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Stomach Adenocarcinoma	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Atypical Lung Carcinoid	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Salivary Duct Carcinoma	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Mixed Ovarian Carcinoma	msk	NA
msk_impact_2017	Thyroid	Thyroid Cancer	Medullary Thyroid Cancer	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Large Cell Neuroendocrine Carcinoma	msk	NA
msk_impact_2017	Pleura	Mesothelioma	Pleural Mesothelioma	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Poorly Differentiated Carcinoma of the Stomach	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Adenocarcinoma of the Gastroesophageal Junction	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Endometrioid Ovarian Cancer	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Adenoid Cystic Carcinoma	msk	NA
msk_impact_2017	Lymphoid	Mature T and NK Neoplasms	Angioimmunoblastic T-Cell Lymphoma	msk	NA
msk_impact_2017	Other	Cancer of Unknown Primary	Cancer of Unknown Primary	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Pleomorphic Rhabdomyosarcoma	msk	NA
msk_impact_2017	Lymphoid	Hodgkin Lymphoma	Hodgkin Lymphoma	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Salivary Carcinoma, Other	msk	NA
msk_impact_2017	Pleura	Mesothelioma	Peritoneal Mesothelioma	msk	NA
msk_impact_2017	Head and Neck	Salivary Gland Cancer	Mammary Analogue Secretory Carcinoma of Salivary Gland Origin	msk	NA
msk_impact_2017	Cervix	Cervical Cancer	Small Cell Carcinoma of the Cervix	msk	NA
msk_impact_2017	Peripheral Nervous System	Peripheral Nervous System	Neuroblastoma	msk	NA
msk_impact_2017	Germ Cell	Germ Cell Tumor	Teratoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Oropharynx Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Germ Cell	Gestational Trophoblastic Disease	Choriocarcinoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Osteosarcoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Head and Neck Squamous Cell Carcinoma of Unknown Primary	msk	NA
msk_impact_2017	Lung	Small Cell Lung Cancer	Small Cell Lung Cancer	msk	NA
msk_impact_2017	Germ Cell	Germ Cell Tumor	Yolk Sac Tumor	msk	NA
msk_impact_2017	Peripheral Nervous System	Nerve Sheath Tumor	Schwannoma	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	Low-Grade Endometrial Stromal Sarcoma	msk	NA
msk_impact_2017	CNS/Brain	Pineal Tumor	Pineal Parenchymal Tumor of Intermediate Differentiation	msk	NA
msk_impact_2017	Bone	Bone Cancer	Chondroblastoma	msk	NA
msk_impact_2017	Kidney	Renal Cell Carcinoma	Renal Medullary Carcinoma	msk	NA
msk_impact_2017	Bone	Bone Cancer	Chondrosarcoma	msk	NA
msk_impact_2017	Appendix	Appendiceal Cancer	Mucinous Adenocarcinoma of the Appendix	msk	NA
msk_impact_2017	CNS/Brain	Glioma	Low-Grade Glioma, NOS	msk	NA
msk_impact_2017	Skin	Melanoma	Melanoma of Unknown Primary	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Rhabdomyosarcoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Myxoid/Round-Cell Liposarcoma	msk	NA
msk_impact_2017	Pituitary	Sellar Tumor	Granular Cell Tumor	msk	NA
msk_impact_2017	Other	Sex Cord Stromal Tumor	Granulosa Cell Tumor	msk	NA
msk_impact_2017	Ovary/Fallopian Tube	Ovarian Cancer	Serous Borderline Ovarian Tumor, Micropapillary	msk	NA
msk_impact_2017	Thymus	Thymic Tumor	Thymoma	msk	NA
msk_impact_2017	Esophagus/Stomach	Esophagogastric Cancer	Intestinal Type Stomach Adenocarcinoma	msk	NA
msk_impact_2017	Lung	Non-Small Cell Lung Cancer	Non-Small Cell Lung Cancer	msk	NA
msk_impact_2017	CNS/Brain	CNS Cancer	Ependymoma	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Larynx Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Appendix	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Appendix	msk	NA
msk_impact_2017	Ampulla of Vater	Ampullary Carcinoma	Pancreatobiliary Ampullary Carcinoma	msk	NA
msk_impact_2017	Thyroid	Thyroid Cancer	Follicular Thyroid Cancer	msk	NA
msk_impact_2017	Head and Neck	Head and Neck Cancer	Sinonasal Undifferentiated Carcinoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Fibrosarcoma	msk	NA
msk_impact_2017	Germ Cell	Germ Cell Tumor	Embryonal Carcinoma	msk	NA
msk_impact_2017	Lymphoid	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	msk	NA
msk_impact_2017	Soft Tissue	Soft Tissue Sarcoma	Sclerosing Epithelioid Fibrosarcoma	msk	NA
msk_impact_2017	Uterus	Uterine Sarcoma	High-Grade Endometrial Stromal Sarcoma	msk	NA
msk_impact_2017	Lymphoid	Mature B-Cell Neoplasms	Mantle Cell Lymphoma	msk	NA
msk_impact_2017	Skin	Penile Cancer	Penile Squamous Cell Carcinoma	msk	NA
msk_impact_2017	Pleura	Mesothelioma	Pleural Mesothelioma, Epithelioid Type	msk	NA
msk_impact_2017	Skin	Melanoma	Uveal Melanoma	msk	NA
