cancer_study_id	name	description
28	blca_tcga	Bladder Urothelial Carcinoma (TCGA, Provisional)	TCGA Bladder Urothelial Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/BLCA/20160128/gdac.broadinstitute.org_BLCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
29	lgg_tcga_pan_can_atlas_2018	Brain Lower Grade Glioma (TCGA, PanCancer Atlas)	Brain Lower Grade Glioma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
30	lgg_tcga	Brain Lower Grade Glioma (TCGA, Provisional)	TCGA Brain Lower Grade Glioma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LGG/20160128/gdac.broadinstitute.org_LGG.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
31	brca_metabric	Breast Cancer (METABRIC, Nature 2012 & Nat Commun 2016)	Targeted sequencing, copy number aberration (CNA), gene expression and long-term clinical follow-up data of 2509 primary breast tumors with 548 matched normals.
32	breast_msk_2018	Breast Cancer (MSK, Cancer Cell 2018)	Targeted Sequencing of tumor/normal sample pairs from 1918 Breast cancers.
33	brca_bccrc_xenograft_2014	Breast Cancer Xenografts (British Columbia, Nature 2015)	Whole genome/targeted sequencing to evaluate the clonal dynamics in breast cancer patient xenografts.
34	bfn_duke_nus_2015	Breast Fibroepithelial Tumors (Duke-NUS, Nat Genet 2015)	Whole exome sequencing of 22 phyllodes tumors
35	brca_bccrc	Breast Invasive Carcinoma (British Columbia, Nature 2012)	Whole genome/exome sequencing analysis of 65 breast cancer samples
36	brca_broad	Breast Invasive Carcinoma (Broad, Nature 2012)	Whole-exome sequencing of 103 breast cancer tumor/normal sample pairs. Generated by the Broad Institute.
37	brca_sanger	Breast Invasive Carcinoma (Sanger, Nature 2012)	Comprehensive profiling of protein coding and microRNA genes from 100 breast cancer tumor/normal sample pairs. Generated by the Sanger Institute.
38	brca_tcga_pub2015	Breast Invasive Carcinoma (TCGA, Cell 2015)	Whole-exome sequencing of 817 Breast Invasive Carcinoma tumor/normal pairs. The Cancer Genome Atlas (TCGA) Breast Invasive Carcinoma Project.
39	brca_tcga_pub	Breast Invasive Carcinoma (TCGA, Nature 2012)	Whole-exome sequencing (510 samples with matched normals), genomic DNA copy number arrays, DNA methylation, messenger RNA arrays, microRNA sequencing and reverse-phase protein arrays analysis on 825 primary breast cancer samples. <a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Breast Invasive Carcinoma project. 825 cases.<br><i>Nature 2012.</i> <a href="https://tcga-data.nci.nih.gov/docs/publications/brca_2012/">Raw data via the TCGA Data Portal</a>.
40	brca_tcga_pan_can_atlas_2018	Breast Invasive Carcinoma (TCGA, PanCancer Atlas)	Breast Invasive Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
41	brca_tcga	Breast Invasive Carcinoma (TCGA, Provisional)	TCGA Breast Invasive Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/BRCA/20160128/gdac.broadinstitute.org_BRCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
42	cellline_ccle_broad	Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)	Cancer Cell Line Encyclopedia from the Broad Institute and Novartis, containing 1020 samples.
43	cesc_tcga_pan_can_atlas_2018	Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)	Cervical Squamous Cell Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
44	cesc_tcga	Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)	TCGA Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/CESC/20160128/gdac.broadinstitute.org_CESC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
45	chol_msk_2018	Cholangiocarcinoma (MSK, Clin Cancer Res 2018)	Targeted sequencing (MSK-IMPACT) of 195 tumor samples (194 with matched normals) from 192 cholangiocarcinoma patients.
46	chol_nccs_2013	Cholangiocarcinoma (National Cancer Centre of Singapore, Nat Genet 2013)	Exome sequencing of 15 cholangiocarcinoma cases.
47	chol_nus_2012	Cholangiocarcinoma (National University of Singapore, Nat Genet 2012)	Exome Sequencing for Opisthorchis viverrini-related cholangiocarcinoma in 8 O.viverrini-related tumors and matched normal tissue.
48	chol_tcga_pan_can_atlas_2018	Cholangiocarcinoma (TCGA, PanCancer Atlas)	Cholangiocarcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
49	chol_tcga	Cholangiocarcinoma (TCGA, Provisional)	TCGA Cholangiocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/CHOL/20160128/gdac.broadinstitute.org_CHOL.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
50	lcll_broad_2013	Chronic Lymphocytic Leukemia (Broad, Cell 2013)	Whole-exome sequencing of 160 CLL tumor/normal pairs.
51	cll_iuopa_2015	Chronic Lymphocytic Leukemia (IUOPA, Nature 2015)	Mutation data from whole-genome or whole-exome sequencing of 428 CLL, 54 MBL, and 24 SLL tumor/normal pairs.
52	cllsll_icgc_2011	Chronic lymphocytic leukemia (ICGC, Nature Genetics 2011)	Whole-exome sequencing of 105 Chronic Lymphocytic Leukemia samples.
53	coadread_dfci_2016	Colorectal Adenocarcinoma (DFCI, Cell Reports 2016)	Whole-exome sequencing of 619 colorectal cancers with clinicopathologic annotations.
54	coadread_genentech	Colorectal Adenocarcinoma (Genentech, Nature 2012)	Comprehensive profiling of 74 paired colon tumor-normal samples.
55	coadread_tcga_pub	Colorectal Adenocarcinoma (TCGA, Nature 2012)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Colorectal Cancer project. <a href="https://tcga-data.nci.nih.gov/docs/publications/coadread_2012/">Raw data via the TCGA Data Portal</a>.
56	coadread_tcga_pan_can_atlas_2018	Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)	Colorectal Adenocarcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
57	coadread_tcga	Colorectal Adenocarcinoma (TCGA, Provisional)	TCGA Colorectal Adenocarcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/COADREAD/20160128/gdac.broadinstitute.org_COADREAD.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
58	coadread_mskcc	Colorectal Adenocarcinoma Triplets (MSKCC, Genome Biol 2014)	Targeted sequencing of primary, metastatic, and normal tissues from 69 colorectal adenocarcinoma patients.
59	cscc_dfarber_2015	Cutaneous Squamous Cell Carcinoma (DFCI, Clin Cancer Res 2015)	Targeted sequencing of 29 metastatic cutaneous squamous cell carcinoma samples.
60	cscc_hgsc_bcm_2014	Cutaneous Squamous Cell Carcinoma (MD Anderson, Clin Cancer Res 2014)	Whole-exome sequencing of tumor/normal pairs from 39 aggressive cutaneous squamous cell carcinoma cases.
61	ctcl_columbia_2015	Cutaneous T Cell Lymphoma (Columbia U, Nat Genet 2015)	Whole-Exome Sequencing (WXS) of tumor-normal sample pairs from 25 patients with Sezary Syndrome and 17 patients with other Cutaneous T Cell Lymphoma (CTCLs).
62	pact_jhu_2011	Cystic Tumor of the Pancreas (Johns Hopkins, PNAS 2011)	Whole-exome sequencing of major neoplastic cyst types of the pancreas: 8 serous cystadenomas (SCAs), 8 intraductal papillary mucinous neoplasms (IPMNs), 8 mucinous cystic neoplasms (MCNs), and 8 solid pseudopapillary neoplasms (SPNs).
63	desm_broad_2015	Desmoplastic Melanoma (Broad Institute, Nat Genet 2015)	Exome/Whole Genome sequencing of 20 desmoplastic melanoma tumor/normal pairs.
64	dlbcl_dfci_2018	Diffuse Large B cell Lymphoma (DFCI, Nat Med 2018)	Whole-exome sequencing of tumor/matching normal sample pairs from 135 DLBCL patients.
65	dlbc_broad_2012	Diffuse Large B-Cell Lymphoma (Broad, PNAS 2012)	Whole exome sequencing of 58 primary DLBCL samples and their matched normals.
66	dlbcl_duke_2017	Diffuse Large B-Cell Lymphoma (Duke, Cell 2017)	Genomic profiling of 1,001 DLBCL patients, mutations reported in only 150 driver genes.
67	dlbc_tcga_pan_can_atlas_2018	Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)	Diffuse Large B-Cell Lymphoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
68	nhl_bcgsc_2013	Diffuse Large B-cell Lymphoma (BCGSC, Blood 2013)	Whole genome sequencing of 40 DLBCL tumor/normal pairs and 13 cell lines.
69	ucec_msk_2018	Endometrial Cancer (MSK, 2018)	MSK-IMPACT sequencing of 197 advanced-staged endometrial cancer tumor samples with matched normals, from 189 patients treated at MSK.
70	esca_broad	Esophageal Adenocarcinoma (DFCI, Nat Genet 2013)	Whole-exome sequencing of 149 tumor/normal pairs and whole-genome sequencing of 16 pairs from 149 esophageal adenocarcinoma patients.
71	esca_tcga_pan_can_atlas_2018	Esophageal Adenocarcinoma (TCGA, PanCancer Atlas)	Esophageal Adenocarcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
72	esca_tcga	Esophageal Carcinoma (TCGA, Provisional)	TCGA Esophageal Carcinoma ; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/ESCA/20160128/gdac.broadinstitute.org_ESCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
73	escc_icgc	Esophageal Squamous Cell Carcinoma (ICGC, Nature 2014)	Whole-genome or whole-exome sequencing of 88 esophageal squamous cell carcinoma tumor/normal pairs.
74	escc_ucla_2014	Esophageal Squamous Cell Carcinoma (UCLA, Nat Genet 2014)	Whole exome sequencing (WXS) or targeted deep sequencing (TDS) of 139 paired esophageal squamous cell carcinoma patients.
75	es_iocurie_2014	Ewing Sarcoma (Institut Curie, Cancer Discov 2014)	Whole-genome sequencing of 112 Ewing sarcoma samples and matched germ line DNA.
76	gbc_msk_2018	Gallbladder Cancer (MSK, Cancer 2018)	Targeted Sequencing of 103 samples with matched normals from 101 Gallbladder cancer patients.
77	gbc_shanghai_2014	Gallbladder Carcinoma (Shanghai, Nat Genet 2014)	Whole exome sequencing of 32 gallbladder carcinoma tumor/normal pairs.
78	egc_tmucih_2015	Gastric Adenocarcinoma (TMUCIH, PNAS 2015)	Whole-exome sequencing of 78 Gastric Adenocarcinomas and their matched normal samples.
79	gct_msk_2016	Germ Cell Tumors (MSKCC, J Clin Oncol 2016)	Whole-exome and Targeted sequencing of 19 samples and Targeted sequencing of 161 samples from 180 Germ Cell Tumor patients.
80	gbm_tcga_pub2013	Glioblastoma (TCGA, Cell 2013)	<a href="http://cancergenome.nih.gov/">The Cancer Genome Atlas (TCGA)</a> Glioblastoma project.<br> <a href="http://tcga-data.nci.nih.gov/tcga/">Raw data via the TCGA Data Portal</a>.
81	gbm_tcga_pub	Glioblastoma (TCGA, Nature 2008)	Targeted sequencing in 91 of the 206 primary glioblastoma tumors (143 with matched normals). The Cancer Genome Atlas (TCGA) Glioblastoma Project.
82	gbm_tcga_pan_can_atlas_2018	Glioblastoma Multiforme (TCGA, PanCancer Atlas)	Glioblastoma Multiforme TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
83	gbm_tcga	Glioblastoma Multiforme (TCGA, Provisional)	TCGA Glioblastoma Multiforme; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/GBM/20160128/gdac.broadinstitute.org_GBM.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
84	glioma_msk_2018	Glioma (MSK, 2018)	Targeted Sequencing of CSF samples (91 samples with 86 matched normals) from 42 glioma patients.
85	hnsc_broad	Head and Neck Squamous Cell Carcinoma (Broad, Science 2011)	Whole-exome sequencing of 74 head and neck squamous cell carcinoma tumor/normal pairs.
86	hnsc_jhu	Head and Neck Squamous Cell Carcinoma (Johns Hopkins, Science 2011)	Exome sequencing of 32 head and neck squamous cell carcinoma tumor/normal sample pairs.
87	hnsc_tcga_pub	Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)	Whole-exome sequencing and/or whole-genome sequencing of 279 head and neck squamous cell carcinoma tumor/normal pairs. The Cancer Genome Atlas (TCGA) head and neck squamous cell carcinoma Project.
88	hnsc_tcga_pan_can_atlas_2018	Head and Neck Squamous Cell Carcinoma (TCGA, PanCancer Atlas)	Head and Neck Squamous Cell Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
89	hnsc_tcga	Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)	TCGA Head and Neck Squamous Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/HNSC/20160128/gdac.broadinstitute.org_HNSC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
90	liad_inserm_fr_2014	Hepatocellular Adenoma (INSERM, Cancer Cell 2014)	Whole-exome sequencing of 46 liver tumor/normal pairs.
91	hcc_mskimpact_2018	Hepatocellular Carcinoma (MSK, Clin Cancer Res 2018)	MSK-IMPACT sequencing of 127 Hepatocellular Carcinoma tumor samples with matched normals.
92	hcc_inserm_fr_2015	Hepatocellular Carcinomas (INSERM, Nat Genet 2015)	Whole-exome sequencing of 243 liver tumors and matched normals.
93	histiocytosis_cobi_msk_2019	Histiocytosis Cobimetinib (MSK, Nature 2019)	Targeted and whole exome sequencing of 52 histiocytosis tumor/normal pairs.
94	all_stjude_2013	Hypodiploid Acute Lymphoid Leukemia (St Jude, Nat Genet 2013)	Whole genome or exome sequencing of 44 (20 whole genome, 20 exome) ALL tumor/normal pairs.
95	panet_shanghai_2013	Insulinoma (Shanghai, Nat Commun 2013)	Whole exome sequencing of 10 benign insulinoma tumor/normal pairs.
96	chol_jhu_2013	Intrahepatic Cholangiocarcinoma (JHU, Nat Genet 2013)	Exome sequencing of tumor/normal pairs from 32 intrahepatic cholangiocarcinoma cases and 8 gall bladder carcinoma cases.
97	kich_tcga_pub	Kidney Chromophobe (TCGA, Cancer Cell 2014)	TCGA Kidney Chromophobe; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=KICH&diseaseName=Kidney Chromophobe">NCI</A>.
98	kich_tcga_pan_can_atlas_2018	Kidney Chromophobe (TCGA, PanCancer Atlas)	Kidney Chromophobe TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
99	kich_tcga	Kidney Chromophobe (TCGA, Provisional)	TCGA Kidney Chromophobe; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/KICH/20160128/gdac.broadinstitute.org_KICH.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
100	kirc_bgi	Kidney Renal Clear Cell Carcinoma (BGI, Nat Genet 2012)	Whole-exome sequencing of 10 ccRCC tumor/normal pairs and targeted sequencing of 88 clear cell carcinoma tumor/normal pairs. Generated by BGI-Shenzhen.
101	ccrcc_irc_2014	Kidney Renal Clear Cell Carcinoma (IRC, Nat Genet 2014)	Multi region exome sequencing of 10 clear cell renal cell carcinomas (ccRCCs)
102	kirc_tcga_pub	Kidney Renal Clear Cell Carcinoma (TCGA, Nature 2013)	TCGA Kidney Renal Clear Cell Carcinoma, containing 499 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=KIRC&diseaseName=Kidney Renal Clear Cell Carcinoma">NCI</A>.
103	kirc_tcga_pan_can_atlas_2018	Kidney Renal Clear Cell Carcinoma (TCGA, PanCancer Atlas)	Kidney Renal Clear Cell Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
104	kirc_tcga	Kidney Renal Clear Cell Carcinoma (TCGA, Provisional)	TCGA Kidney Renal Clear Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/KIRC/20160128/gdac.broadinstitute.org_KIRC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
105	kirp_tcga_pan_can_atlas_2018	Kidney Renal Papillary Cell Carcinoma (TCGA, PanCancer Atlas)	Kidney Renal Papillary Cell Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
106	kirp_tcga	Kidney Renal Papillary Cell Carcinoma (TCGA, Provisional)	TCGA Kidney Renal Papillary Cell Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/KIRP/20160128/gdac.broadinstitute.org_KIRP.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
107	hcc_msk_venturaa_2018	Liver Hepatocellular Adenoma and Carcinomas (MSK, PLOS One 2018)	Targeted sequencing of tumor/normal pairs of 9 LIAD and 10 HCC patients via MSK-IMPACT platform.
108	lihc_amc_prv	Liver Hepatocellular Carcinoma (AMC, Hepatology 2014)	Whole exome sequencing of 231 hepatocellular carcinomas and matched normal tissue pairs.
109	lihc_riken	Liver Hepatocellular Carcinoma (RIKEN, Nat Genet 2012)	Whole-genome sequencing of 27 hepatocellular carcinoma tumor/norma pairs from RIKEN.
110	lihc_tcga_pan_can_atlas_2018	Liver Hepatocellular Carcinoma (TCGA, PanCancer Atlas)	Liver Hepatocellular Carcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
111	lihc_tcga	Liver Hepatocellular Carcinoma (TCGA, Provisional)	TCGA Liver Hepatocellular Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LIHC/20160128/gdac.broadinstitute.org_LIHC.Mutation_Packager_Raw_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
112	lgg_ucsf_2014	Low-Grade Gliomas (UCSF, Science 2014)	Whole exome sequencing of 23 grade II glioma tumor/normal pairs.
113	luad_broad	Lung Adenocarcinoma (Broad, Cell 2012)	Whole-exome and/or whole-genome sequencing of 183 lung adenocarcinomas and matched normal tissue pairs.
114	luad_mskcc_2015	Lung Adenocarcinoma (MSKCC, Science 2015)	Whole-exome sequencing of 34 non small cell lung cancer tumor/normal pairs.
115	luad_tcga_pub	Lung Adenocarcinoma (TCGA, Nature 2014)	TCGA Lung Adenocarcinoma, containing 230 samples; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=LUAD&diseaseName=Lung Adenoarcinoma">NCI</A>.
116	luad_tcga_pan_can_atlas_2018	Lung Adenocarcinoma (TCGA, PanCancer Atlas)	Lung Adenocarcinoma TCGA PanCancer data. The original data is <a href="https://gdc.cancer.gov/about-data/publications/pancanatlas">here</a>. The publications are <a href="https://www.cell.com/pb-assets/consortium/pancanceratlas/pancani3/index.html">here</a>.
